,activity_id,person_id,distance_meters,duration_seconds,mode,travel_purpose,previous_activity_type,start_time,end_time,dest_bgrp,orig_bgrp,destination_land_use,origin_land_use,latitude,longitude
126,11830913277555712358,17748185107203052440,4184.283846521377,420,PRIVATE_AUTO,EAT,WORK,2019-10-08 14:44:16,14:52:15,250173530002,250173521011,industrial,commercial,42.371938,-71.075402
231,937879543923620705,7804611449028513658,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 14:46:59,14:48:32,250173524002,250173524002,residential,commercial,42.363148,-71.093133
233,17693808251466835368,7895773492629567532,160.93400239810347,60,WALKING,EAT,WORK,2019-10-08 14:50:08,14:51:26,250173523002,250173523002,industrial,commercial,42.366118,-71.078269
40,16359135028593411716,12363847950683068807,1770.2740383696555,240,CARPOOL,EAT,HOME,2019-10-08 14:51:57,14:56:27,250173524001,250173521021,residential,commercial,42.369371,-71.077051
67,253758158945112257,14013831967230099560,804.67,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 14:54:01,14:56:02,250173525001,250173524002,residential,commercial,42.363164,-71.088442
10,7685245467166000094,10565196670197332966,7563.897693042754,1140,PRIVATE_AUTO,EAT,HOME,2019-10-08 14:57:05,15:16:42,250173549002,250173524002,residential,commercial,42.363148,-71.093133
81,5196238298402435410,14791729600843950251,5310.821923260689,720,CARPOOL,EAT,HOME,2019-10-08 15:03:49,15:15:50,250173549002,250173524002,residential,commercial,42.362854,-71.087715
21,17545975646415059141,11048633265145903268,1126.5379808151722,780,WALKING,EAT,HOME,2019-10-08 15:05:06,15:18:20,250173526001,250173524002,residential,commercial,42.363694,-71.087271
13,17746206426201799860,10648279261041087561,2414.01,300,PRIVATE_AUTO,EAT,HOME,2019-10-08 15:10:15,15:15:44,250173528002,250173524002,residential,commercial,42.363164,-71.088442
190,13375153028374925846,5453423540851874410,7724.832306957244,1140,PRIVATE_AUTO,EAT,HOME,2019-10-08 15:10:29,15:29:34,250173549002,250173524002,residential,commercial,42.363058,-71.092456
87,1852904148633418918,15032498392499911590,3218.68,480,PRIVATE_AUTO,EAT,HOME,2019-10-08 15:13:07,15:21:33,250173533003,250173524002,residential,commercial,42.362844,-71.087726
17,3399164941992754809,1088703167419181927,1448.4059616303443,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 15:14:38,15:18:18,250173522001,250173524002,residential,commercial,42.363694,-71.087271
175,16081954933075936549,4244915649721938942,1287.4720191848278,960,WALKING,EAT,HOME,2019-10-08 15:16:55,15:32:57,250173521011,250173522001,residential,commercial,42.372127,-71.086885
63,18103883363105401417,1376538999939727448,1287.4720191848278,900,WALKING,EAT,HOME,2019-10-08 15:17:15,15:33:07,250173522001,250173524002,residential,commercial,42.363101,-71.087854
0,17341527556159348511,10032019579017798057,965.6040383696557,660,WALKING,EAT,HOME,2019-10-08 15:23:37,15:34:55,250173530004,250173524002,residential,commercial,42.363027,-71.091578
181,10319936665811900788,497730078107241671,1609.34,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 15:24:19,15:28:00,250173522001,250173524002,residential,commercial,42.363101,-71.087854
150,16920298129096205781,2733843578777979591,4988.953846521377,780,PRIVATE_AUTO,EAT,HOME,2019-10-08 15:32:21,15:45:48,250173549002,250173524002,residential,commercial,42.36255,-71.085605
208,6308968337684168675,6098769706752000491,5632.69,660,PRIVATE_AUTO,EAT,WORK,2019-10-08 15:33:13,15:44:39,250173531021,250173521021,industrial,commercial,42.369371,-71.077051
46,5723152267219232633,12864566706937394859,482.80201918482777,300,WALKING,EAT,HOME,2019-10-08 15:34:52,15:40:18,250173525001,250173524002,residential,commercial,42.36283,-71.087282
255,6720502263791917624,9323303053998034954,321.86800479620695,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 15:37:50,15:38:51,250173525002,250173524002,residential,commercial,42.363027,-71.091578
14,6215038695858047168,10688587731132820243,643.7360095924139,420,WALKING,EAT,HOME,2019-10-08 15:43:32,15:51:01,250173525002,250173524002,residential,commercial,42.36255,-71.085605
95,8469925630952974409,15322601133039126367,482.80201918482777,300,WALKING,EAT,HOME,2019-10-08 15:47:38,15:52:54,250173525001,250173524002,residential,commercial,42.363148,-71.093133
203,14701839855132771041,5931866672577976401,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 15:48:40,15:49:45,250173525002,250173524002,residential,commercial,42.363148,-71.093133
220,7929361720558268736,6750095657184184267,1931.208076739311,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 15:53:42,15:56:28,250173523001,250173524002,residential,commercial,42.363101,-71.087854
239,5049841341600397711,8277480546363368088,1287.4720191848278,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:00:51,16:03:40,250173522001,250173521021,residential,commercial,42.368019,-71.075326
53,16231627599521367056,13389556456556829622,1287.4720191848278,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:06:55,16:09:22,250173531022,250173524002,residential,commercial,42.362666,-71.083994
256,5808667120137165678,9358520074171878348,6276.426153478622,720,CARPOOL,EAT,HOME,2019-10-08 16:10:04,16:23:03,250173546001,250173526001,residential,commercial,42.372072,-71.088896
43,11302795281483069103,12564670265718730715,643.7360095924139,420,WALKING,EAT,HOME,2019-10-08 16:15:06,16:22:40,250173521011,250173521021,residential,commercial,42.369371,-71.077051
211,7540370367645540621,6157218101944303968,321.86800479620695,240,WALKING,EAT,HOME,2019-10-08 16:18:22,16:23:06,250173526001,250173522001,residential,commercial,42.372127,-71.086885
1,11350718369444457629,10049399098905491466,1770.2740383696555,1260,WALKING,EAT,HOME,2019-10-08 16:24:09,16:45:13,250173526001,250173524002,residential,commercial,42.363148,-71.093133
188,17327424426530228953,5436824034354542199,2092.1419232606886,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:29:59,16:33:41,250173522001,250173524002,residential,commercial,42.363058,-71.092456
178,11773378285577366338,4618455347679785590,1770.2740383696555,360,BIKING,EAT,HOME,2019-10-08 16:29:59,16:36:48,250173522001,250173524002,residential,commercial,42.363148,-71.093133
136,3134318974913858789,2143216121620915410,1448.4059616303443,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:31:34,16:35:21,250173529002,250173524002,residential,commercial,42.36283,-71.087282
145,12596433873394490146,2604468065085746123,1287.4720191848278,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:31:34,16:34:57,250173529001,250173524002,residential,commercial,42.363148,-71.093133
176,537444994547307146,4339365131919710958,2574.944038369656,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:32:38,16:36:07,250173522001,250173524002,residential,commercial,42.362844,-71.087726
202,12391614683272433112,59070498609758256,4023.35,420,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:34:00,16:41:26,250173533003,250173524002,residential,commercial,42.363148,-71.093133
242,9955628930953922799,831819136677688530,4667.086153478622,420,CARPOOL,EAT,HOME,2019-10-08 16:34:00,16:41:23,250173533003,250173524002,residential,commercial,42.36335,-71.08775
193,8993355653204896295,5574388923953502414,6115.491923260688,720,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:34:00,16:46:16,250173532003,250173524002,residential,commercial,42.36255,-71.085605
97,12205833603085452196,1541119495565288824,3701.4819232606887,360,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:34:00,16:40:10,250173533003,250173531022,residential,commercial,42.359126,-71.092975
237,6518176662749059005,812398701804278298,3701.4819232606887,480,CARPOOL,EAT,HOME,2019-10-08 16:34:00,16:42:40,250173533003,250173531022,residential,commercial,42.359142,-71.092973
226,10590383126587668298,737748139431022856,3862.416153478622,420,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:34:00,16:41:08,250173533003,250173524002,residential,commercial,42.363164,-71.088442
183,9203984831922911848,5063875510192502632,4345.218076739311,540,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:34:00,16:43:41,250173533003,250173524002,residential,commercial,42.36255,-71.085605
7,1719512635046406097,1053822192134129835,4023.35,480,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:34:00,16:42:16,250173533003,250173531022,residential,commercial,42.359113,-71.092946
153,7703560521883114074,279663942294772914,3379.6138465213776,720,BIKING,EAT,HOME,2019-10-08 16:34:00,16:46:39,250173533003,250173531022,residential,commercial,42.360119,-71.088622
70,17732345626895622832,14157721543766744817,321.86800479620695,0,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:34:16,16:34:44,250173524001,250173524002,residential,commercial,42.363058,-71.092456
209,12208393746289763831,6104280715709778013,643.7360095924139,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:34:16,16:35:22,250173525002,250173524002,residential,commercial,42.363164,-71.088442
92,3624774651690018677,15194409223763820175,5310.821923260689,780,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:34:56,16:48:01,250173549003,250173524002,residential,commercial,42.363027,-71.091578
110,12196239203043439430,16307411985079771026,2253.0759616303444,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 16:41:27,16:45:21,250173533002,250173524002,residential,commercial,42.363101,-71.087854
257,18293786987733167730,9449420472631209283,3057.745961630344,1260,PUBLIC_TRANSIT,EAT,HOME,2019-10-08 16:50:03,17:11:44,250173537002,250173521021,residential,commercial,42.368019,-71.075326
61,5795790152344475744,13726704632249202578,3057.745961630344,660,BIKING,EAT,HOME,2019-10-08 17:06:57,17:18:15,250173531021,250173523002,residential,commercial,42.363447,-71.082858
128,9074790354682733781,1779583822057392590,3540.548076739311,480,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:14:40,17:23:14,250173534002,250173524002,residential,commercial,42.363164,-71.088442
65,14034859269356555734,13908326961741730664,2896.8119232606887,420,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:14:40,17:22:08,250173533003,250173524002,residential,commercial,42.362854,-71.087715
267,935882885400494078,988198631772473550,3218.68,300,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:14:40,17:20:21,250173534002,250173524002,residential,commercial,42.363468,-71.088546
247,2726614979319532293,881558380918613781,1931.208076739311,1320,WALKING,EAT,HOME,2019-10-08 17:18:30,17:41:20,250173528002,250173523002,residential,commercial,42.366363,-71.07819
180,4199170256571407935,4782182878527192981,3379.6138465213776,360,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:19:43,17:26:39,250173538002,250173523002,residential,commercial,42.366363,-71.07819
64,11495104898205114607,13904094754508348901,9977.907693042756,1440,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:20:43,17:45:18,250173549002,250173524002,residential,commercial,42.363101,-71.087854
113,518169450844955706,16536073185258724532,2253.0759616303444,240,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:21:45,17:26:27,250173527002,250173523002,residential,commercial,42.364393,-71.082097
19,12320872944091856913,1099775949643837268,1448.4059616303443,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:26:12,17:29:50,250173522001,250173524002,residential,commercial,42.363148,-71.093133
49,3495435639167125207,13018321788363995535,5471.756153478622,720,CARPOOL,EAT,HOME,2019-10-08 17:26:33,17:39:20,250173546001,250173524002,residential,commercial,42.363101,-71.087854
35,9863786234983977936,12032233918734620094,6920.162306957244,840,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:26:33,17:40:36,250173549002,250173524002,residential,commercial,42.36255,-71.085605
50,5053943314306700453,13018960912505406142,321.86800479620695,0,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:26:59,17:27:33,250173523002,250173521021,residential,commercial,42.369817,-71.077794
206,6665338038136672206,6040877275904456794,1931.208076739311,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:27:43,17:31:28,250173524002,250173521021,residential,commercial,42.368019,-71.075326
77,2747679606593075902,14500811034105256594,1770.2740383696555,240,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:27:59,17:32:26,250173527001,250173524002,residential,commercial,42.363058,-71.092456
200,8769974848716288962,5731650795936493918,482.80201918482777,360,WALKING,EAT,HOME,2019-10-08 17:29:48,17:36:21,250173521011,250173521021,residential,commercial,42.369817,-71.077794
159,14040421020155915543,3222558593461603047,965.6040383696557,660,WALKING,EAT,HOME,2019-10-08 17:32:55,17:43:59,250173524001,250173524002,residential,commercial,42.365031,-71.092656
44,6248581171781841990,12650851500380413388,2092.1419232606886,1500,WALKING,EAT,HOME,2019-10-08 17:34:29,17:59:56,250173530003,250173524002,residential,commercial,42.36279,-71.085498
37,18236957070086835635,12136927845283956402,321.86800479620695,0,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:37:23,17:38:17,250173525002,250173524002,residential,commercial,42.36335,-71.08775
68,3236908149297561892,14016940497844245679,160.93400239810347,60,BIKING,EAT,HOME,2019-10-08 17:40:00,17:41:01,250173531022,250173524002,residential,commercial,42.363058,-71.092456
56,4766049987060822962,13500397539890103908,2574.944038369656,1800,WALKING,EAT,HOME,2019-10-08 17:41:53,18:12:35,250173529001,250173522001,residential,commercial,42.372122,-71.087128
196,8824802510873152694,561115075630909907,1931.208076739311,960,PUBLIC_TRANSIT,EAT,HOME,2019-10-08 17:41:53,17:58:43,250173529001,250173522001,residential,commercial,42.371654,-71.086311
3,9681723085928097188,10355801495119956521,1931.208076739311,240,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:41:53,17:45:59,250173525001,250173522001,residential,commercial,42.371446,-71.084462
99,17777541527757190362,15509362367000660125,8851.369999999999,1740,BIKING,EAT,HOME,2019-10-08 17:45:01,18:14:58,250173549003,250173524002,residential,commercial,42.362854,-71.087715
260,12338564633671009761,9589480699131210643,4506.151923260689,660,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:45:48,17:57:03,250173534002,250173523002,residential,commercial,42.366363,-71.07819
263,4385435429735309002,9711928490969740707,3218.68,480,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:46:16,17:54:40,250173534002,250173524002,residential,commercial,42.362854,-71.087715
235,14956480875927046049,7928939121484545373,3057.745961630344,420,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:46:16,17:53:53,250173534002,250173524002,residential,commercial,42.36255,-71.085605
160,92086734499449487,3244033003059698333,1448.4059616303443,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:47:41,17:51:02,250173523001,250173524002,residential,commercial,42.36335,-71.08775
166,17290888612404560011,3761108588787604273,2896.8119232606887,600,BIKING,EAT,HOME,2019-10-08 17:51:28,18:01:53,250173540003,250173524002,residential,commercial,42.36255,-71.085605
147,6308586631019205394,2647677713307979654,1448.4059616303443,180,CARPOOL,EAT,HOME,2019-10-08 17:58:05,18:01:10,250173523001,250173524002,residential,commercial,42.365031,-71.092656
135,17594747169683702917,2091741133786181322,8207.633846521378,1080,PRIVATE_AUTO,EAT,HOME,2019-10-08 17:58:55,18:16:58,250173546003,250173521011,residential,commercial,42.37196,-71.075408
148,14193051522429778705,2691539216421497487,3701.4819232606887,1620,PUBLIC_TRANSIT,EAT,HOME,2019-10-08 18:04:18,18:31:41,250173534002,250173522001,residential,commercial,42.371765,-71.087074
38,6257232905721054186,12225663921084515414,804.67,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 18:04:38,18:06:31,250173526001,250173522001,residential,commercial,42.371281,-71.083318
165,15460485536260378472,3539752119008726679,1609.34,1080,WALKING,EAT,HOME,2019-10-08 18:05:59,18:24:28,250173526002,250173523002,residential,commercial,42.363323,-71.08247
259,15954566743791009524,9548637868896287659,1287.4720191848278,960,WALKING,EAT,HOME,2019-10-08 18:10:09,18:26:26,250173526002,250173523002,residential,commercial,42.366118,-71.078269
185,14086265026419785453,5137143548242899803,4184.283846521377,360,PRIVATE_AUTO,EAT,HOME,2019-10-08 18:11:05,18:17:10,250173539002,250173524002,residential,commercial,42.363027,-71.091578
141,15879177196094781789,244531520222873154,1931.208076739311,1320,WALKING,EAT,HOME,2019-10-08 18:12:23,18:35:09,250173526002,250173523002,residential,commercial,42.364905,-71.078657
129,2152965552761381020,1794113586527421313,1448.4059616303443,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 18:19:23,18:21:28,250173526002,250173523002,residential,commercial,42.366227,-71.0791
52,9397524013705754071,13384161762729951617,1448.4059616303443,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 18:24:15,18:26:47,250173523002,250173524002,residential,commercial,42.36279,-71.085498
204,9885416196549789481,5963184723815196885,2092.1419232606886,240,PRIVATE_AUTO,EAT,HOME,2019-10-08 18:24:15,18:28:18,250173523002,250173524002,residential,commercial,42.363164,-71.088442
139,283024795131682533,2338104810599583018,6115.491923260688,480,PRIVATE_AUTO,EAT,HOME,2019-10-08 18:25:44,18:34:17,250173534002,250173522001,residential,commercial,42.37161,-71.083254
249,10492633348699298349,8903092556324351261,965.6040383696557,660,WALKING,EAT,HOME,2019-10-08 18:29:40,18:41:33,250173526001,250173524002,residential,commercial,42.363164,-71.088442
78,4735394863935057239,14570549655684117422,2092.1419232606886,1440,WALKING,EAT,WORK,2019-10-08 18:31:29,18:55:39,250173532001,250173524002,industrial,commercial,42.363694,-71.087271
4,10108660660014805296,104034745779742514,3540.548076739311,480,PRIVATE_AUTO,EAT,HOME,2019-10-08 18:37:35,18:45:38,250173534002,250173524002,residential,commercial,42.36255,-71.085605
251,17697634855864015080,8995995807244930597,1609.34,1140,WALKING,EAT,HOME,2019-10-08 18:40:32,19:00:02,250173527001,250173523002,residential,commercial,42.366363,-71.07819
57,7998901625821052424,13532027068744116789,2414.01,1680,WALKING,EAT,HOME,2019-10-08 18:41:27,19:09:54,250173531021,250173524002,residential,commercial,42.36279,-71.085498
164,16181466442045063012,3437619331059510315,1287.4720191848278,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 18:48:27,18:51:01,250173522001,250173524002,residential,commercial,42.363694,-71.087271
9,5935796406125514291,10553466445947371567,2092.1419232606886,240,PRIVATE_AUTO,EAT,HOME,2019-10-08 18:51:47,18:55:52,250173528002,250173523002,residential,commercial,42.366024,-71.081946
15,11626904573900480772,1070081023032615924,1770.2740383696555,240,PRIVATE_AUTO,EAT,HOME,2019-10-08 18:52:20,18:56:30,250173522001,250173524002,residential,commercial,42.36283,-71.087282
268,3413247518926871586,9989624360164531633,643.7360095924139,480,WALKING,EAT,HOME,2019-10-08 18:59:44,19:07:56,250173523002,250173521022,residential,commercial,42.372246,-71.07982
74,16613923563482586570,14346622482227453836,2574.944038369656,300,PRIVATE_AUTO,EAT,HOME,2019-10-08 19:02:34,19:08:18,250173538001,250173524002,residential,commercial,42.36335,-71.08775
12,17600609928347634957,10607672071233501470,6598.293846521377,720,CARPOOL,EAT,HOME,2019-10-08 19:11:27,19:23:39,250173546003,250173521011,residential,commercial,42.37196,-71.075408
117,698828183064269676,17019964161383024461,2414.01,300,PRIVATE_AUTO,EAT,HOME,2019-10-08 19:13:31,19:18:54,250173533002,250173526001,residential,commercial,42.367958,-71.090294
30,15091520575589476028,11764048450823583134,1931.208076739311,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 19:15:32,19:19:03,250173522001,250173524002,residential,commercial,42.363027,-71.091578
179,14748386392023557359,4731832240641402613,1770.2740383696555,180,PRIVATE_AUTO,EAT,HOME,2019-10-08 19:18:11,19:21:20,250173522001,250173524002,residential,commercial,42.362666,-71.083994
140,11556416716500992799,2346414419325887723,1448.4059616303443,240,BIKING,EAT,HOME,2019-10-08 19:19:11,19:23:47,250173531011,250173524002,residential,commercial,42.363164,-71.088442
115,16841946140170145966,16918649374025006714,2574.944038369656,300,PRIVATE_AUTO,EAT,HOME,2019-10-08 19:20:36,19:26:01,250173525002,250173522001,residential,commercial,42.371483,-71.084626
228,2072222911312757590,743980916619447278,3218.68,420,PRIVATE_AUTO,EAT,HOME,2019-10-08 19:22:43,19:30:33,250173534002,250173524002,residential,commercial,42.366056,-71.092182
31,15983729534278177440,11866590030332361143,965.6040383696557,720,WALKING,EAT,WORK,2019-10-08 19:36:53,19:49:04,250173523001,250173524002,residential,commercial,42.36283,-71.087282
104,13917353213491356068,15624183898170776878,1126.5379808151722,60,PRIVATE_AUTO,EAT,HOME,2019-10-08 19:39:44,19:41:14,250173521021,250173521021,residential,commercial,42.369817,-71.077794
171,2651194256578497274,3978734336832277083,1931.208076739311,180,CARPOOL,EAT,HOME,2019-10-08 19:39:44,19:43:11,250173522001,250173524002,residential,commercial,42.36279,-71.085498
133,18368974607984942174,18438583022537155676,2735.878076739311,1080,PUBLIC_TRANSIT,EAT,WORK,2019-10-08 19:54:32,20:13:10,250173529002,250173521011,residential,commercial,42.371938,-71.075402
184,6299433200181187100,5074644927738789463,1609.34,1140,WALKING,EAT,HOME,2019-10-08 19:56:37,20:16:20,250173527001,250173524002,residential,commercial,42.363694,-71.087271
240,4957123176835385329,8284657171842207786,0.0,0,WALKING,EAT,HOME,2019-10-08 20:47:05,20:47:26,250173524002,250173524002,residential,commercial,42.362666,-71.083994
149,3555647943624969400,2692333888484893356,482.80201918482777,300,WALKING,EAT,HOME,2019-10-08 21:00:26,21:05:39,250173531012,250173524002,residential,commercial,42.36255,-71.085605
34,12686263469287166725,11996709912046338439,482.80201918482777,0,PRIVATE_AUTO,EAT,HOME,2019-10-08 21:09:53,21:10:39,250173521012,250173521021,residential,commercial,42.367183,-71.074439
154,2621852465995994458,286577442067173551,2253.0759616303444,1560,WALKING,EAT,HOME,2019-10-08 21:41:34,22:07:50,250173522001,250173524002,residential,commercial,42.363694,-71.087271
172,10874663107982158881,3986110396183141418,482.80201918482777,300,WALKING,EAT,HOME,2019-10-08 22:19:41,22:25:19,250173522001,250173521022,residential,commercial,42.371232,-71.080153
2,15603422498228170985,10332025021716143182,1770.2740383696555,120,PRIVATE_AUTO,EAT,HOME,2019-10-08 22:37:21,22:39:31,250173527001,250173521021,residential,commercial,42.368019,-71.075326
